"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WP_010993052.1",36.3726360367324,-6.36012319154452,0.947917693728577,-6.70957323997969,1.9519442957199e-11,4.82130241042814e-09
"WP_005803715.1",23.562136315015,3.78153506359488,0.662567539896168,5.70739560254867,1.14717939050973e-08,1.41676654727952e-06
"WP_005788108.1",45.3498804335249,3.05249014452492,0.605089602209442,5.04469112240398,4.54254577232421e-07,3.74002935254693e-05
"WP_081039928.1",40.5611619824928,-2.04768785123737,0.439154466170258,-4.66279637115997,3.11941377081579e-06,0.000192623800347875
"WP_005785248.1",55.5386122789211,1.83072709861051,0.407550237962531,4.49202804484394,7.05481306500424e-06,0.000295511799931933
"WP_008769531.1",16.6938441291295,3.06747835794617,0.683434487483426,4.48832830962537,7.17842428984453e-06,0.000295511799931933
"WP_014299313.1",22.2816356603414,2.54635787645399,0.586115673449095,4.34446303315781,1.39616750846366e-05,0.000492647677986463
"WP_005791692.1",17.3340102768772,2.68216066162893,0.646096957346337,4.15132842080724,3.30551028227657e-05,0.00102057629965289
"WP_065849900.1",56.8441518528044,-1.58357441037035,0.388078973335641,-4.0805467937598,4.49298828109192e-05,0.00123307567269967
"WP_005785254.1",11.4549509999694,-3.41129183554715,0.845925503689349,-4.03261495329013,5.51596178974563e-05,0.00126720139937868
"WP_005791539.1",19.611256300701,2.67206635484562,0.666894071139998,4.00673280882217,6.15644404556443e-05,0.00126720139937868
"WP_005798895.1",29.237490045783,1.96856882252174,0.490167708576919,4.01611282847863,5.91659379298375e-05,0.00126720139937868
"WP_005791971.1",63.7537554385819,1.58293224911623,0.400578487749709,3.95161571957724,7.76253201433689e-05,0.00147488108272401
"WP_065849860.1",10.8012882026248,-3.5026647445149,0.928385074110025,-3.77285766670975,0.000161388366235761,0.00284735189001665
"WP_005789299.1",45.6454900831566,1.49186582952576,0.401404554341123,3.71661410761658,0.000201910472766838,0.00332479245156059
"WP_065849536.1",62.6579564619933,-1.33611865366178,0.370570361718156,-3.60557343945921,0.000311464390545553,0.00480823152904698
"WP_005786073.1",10.8385476584019,2.93162481411885,0.822276878064206,3.56525264460852,0.000363505855254776,0.00528152624987822
"WP_005785213.1",7.15855158846612,-4.04203164169477,1.1647987528741,-3.47015450670873,0.000520159053790229,0.00713773812701037
"WP_005785224.1",15.8542986417623,-2.20246023521465,0.638553172939461,-3.44914147881535,0.000562371969193294,0.00731083559951282
"WP_065849600.1",8.03963005250451,-3.60495113174478,1.05137407562393,-3.42879971584372,0.000606256735642963,0.00748727068519059
"WP_009293146.1",35.0994304825001,-1.51981130337563,0.453842360740327,-3.34876475809011,0.000811726840265328,0.00911347861570618
"WP_032564828.1",101.33305930642,-1.13245175499329,0.337840012340724,-3.3520356193072,0.000802196970120941,0.00911347861570618
"WP_005796345.1",76.8818206601783,-1.06778776239015,0.342790917507644,-3.11498265518174,0.00183955726522436,0.0197552454134963
"WP_005788166.1",30.7489978900674,-1.41048600881437,0.466540987680359,-3.0232842259526,0.00250047274142922,0.0257340319638757
"WP_032579692.1",11.3700110299177,-2.09632047966701,0.728396021914943,-2.87799550875609,0.00400210836926032,0.039540830688292
"WP_005798828.1",13.4781074057728,-1.97997489103943,0.693096430285535,-2.85670911654203,0.00428057928588192,0.0406655032158782
"WP_032582773.1",17.9073651350068,-1.70027337119002,0.604097864753724,-2.81456609995332,0.00488431317670141,0.0446824205424166
"WP_005797295.1",9.87792040055063,-2.31231076139543,0.830579768391809,-2.78397193068233,0.00536976809833825,0.0473690257246267
"WP_005788903.1",22.9009000330193,1.49470738449727,0.541226501466609,2.76170398243051,0.00575005854409752,0.0489746365652444
